state,income_employee_day,employees_business,salary_employee_day
Oaxaca,6021.06830045475,4,395.3865491897777
Veracruz,12113.568049604968,6,573.9414439290908
Michoacan,28979.260705853114,4,291.72808360258483
Puebla,10824.636591085342,5,435.02413524625484
Yucatan,32134.630791595737,11,881.8534556987191
Mexico,2536.852272606147,6,87.1638567241073
Coahuila,4118.921438953488,5,74.4334587432916
Oaxaca,10419.324877519066,6,346.6068679605031
Chihuahua,17616.706719545044,7,480.718831188267
SLP,15759.01309304468,7,810.4444213496085
Colima,38189.2414192746,11,792.9486364233919
Zacatecas,8643.879906516131,7,313.28996837637663
Jalisco,39277.19812480393,9,612.7474167532326
Guanajuato,10725.285750154755,7,533.4233708010663
Tlaxcala,2581.602534560635,4,37.68279616068985
Oaxaca,27257.027391995078,16,1513.0277251063394
Michoacan,10430.334248614752,6,452.88729364265566
Guerrero,14928.915841154869,4,127.32954843399305
Guanajuato,8552.641086139958,5,163.83115068968783
Jalisco,9411.428949879679,6,172.65778945730642
CDMX,57316.98941624065,11,328.8546265062757
Veracruz,111601.88698487921,6,990.4176099860762
Coahuila,16421.74221573974,11,535.5632435474665
Veracruz,8226.455898115866,5,274.80907035828204
Chiapas,1934.4132666666667,4,30.0146593974359
Hidalgo,30214.358343113196,7,379.1539877840606
Guerrero,19808.776986965226,8,534.8927508200297
Chiapas,9131.317560503894,6,295.7516623241376
Veracruz,4551.368524196774,4,118.51592174376749
Puebla,4480.966911975362,3,51.18416541326458
Guanajuato,8609.876387860844,7,299.86344524790115
Morelos,21353.96217830541,8,794.1764735823829
Morelos,6160.030924015009,4,120.67353284865541
Chihuahua,30751.902096796428,13,773.2561363323091
Guanajuato,12582.233883278534,9,617.358831565921
Oaxaca,13227.47584458302,6,482.4495785650655
Guanajuato,23592.061839499922,10,691.0161439746275
Tlaxcala,2057.6051383000204,5,92.31707539201831
Nuevo Leon,15633.620681598823,11,522.8844579688385
Puebla,1855.2021849427167,4,75.76128600654664
Michoacan,7872.03930051098,4,251.87885730562073
Mexico,23077.5700061524,6,395.50997073086876
SLP,28218.71484062734,10,685.0838981829116
Morelos,5904.126983013672,6,169.73508646194657
Michoacan,9004.192865084133,6,264.29904537259614
Jalisco,8269.363900561644,7,282.114292574777
Puebla,15605.318306065576,6,670.5578979825859
Morelos,6032.637647019063,5,94.93882377991078
Veracruz,1837.8365839233984,4,30.486794576762147
Sinaloa,8715.891667995216,7,219.17528537265844
Tlaxcala,22000.602865677876,6,897.9298664045099
Durango,13112.668495564467,5,323.32644321910317
Veracruz,4414.722179613118,5,108.6880957571407
Sonora,20302.4206049327,12,919.3833168847282
Tlaxcala,10973.715151522974,5,411.66934105402186
Mexico,11547.18069766368,4,236.4939969064549
Guanajuato,13087.765810518506,8,440.4944458917519
Michoacan,9594.760211622439,6,412.8898470216102
Yucatan,5552.596180444728,7,163.07437671560805
Tabasco,9012.92786163522,6,352.4938143444606
Durango,12739.419073625635,5,211.81407542892472
Mexico,12556.777077375289,6,312.53340677620776
Durango,18470.633524498193,6,533.9302065671362
Jalisco,7785.4600398179755,6,193.68083749015491
Zacatecas,10656.49262921621,9,377.89303369934476
Puebla,8175.770033910405,5,98.88338969079064
Guerrero,1816.4804439855445,5,36.940930089485455
CDMX,13448.54690813227,7,177.01381223080892
Michoacan,9796.409894131077,6,437.4600133704474
Michoacan,4440.250430134469,4,114.07659421197695
CDMX,279225.6332843579,23,510.59901685703903
Yucatan,5113.213900807028,5,111.5362487230565
Mexico,3643.605998248101,5,85.46399481451266
Jalisco,8980.337037373003,6,294.71444348693757
Mexico,7872.484296146199,5,135.47099647308457
Nayarit,16016.190880759994,7,560.0710383788881
Coahuila,3992.5132602607855,8,108.75470285289227
Michoacan,4069.126068689375,5,150.22693106624558
Queretaro,29992.03313148988,12,733.7727479105748
Veracruz,4405.588412162162,5,108.38345384615384
Tlaxcala,3382.8028740892614,4,319.52369219785453
Chihuahua,6603.968936104219,6,128.13860569168736
Chiapas,9167.264127148894,7,267.91130718240095
Puebla,2068.796624599359,4,68.01743044871795
Veracruz,7656.362345555999,5,264.8308453068952
Chiapas,3362.2364434045044,4,131.04375347323779
Puebla,3054.8563415282265,4,55.743315979056774
Jalisco,10161.354021925943,5,250.23946031456697
Veracruz,1443.1674416502299,6,18.221626109467458
Veracruz,4132.000716657443,5,115.86704078583287
Michoacan,4258.257200426692,5,127.4052573697489
Chiapas,7482.560021452651,5,46.117215024517314
Veracruz,7994.59113164963,5,329.59601399873156
Chiapas,8099.192605617348,6,209.71911726563232
Veracruz,8572.412581882838,4,170.84857916900617
Chiapas,5370.253796357772,4,141.79781312245092
Jalisco,4294.327744171103,5,122.67671415458048
Durango,20376.916297608503,6,480.93000726760687
Coahuila,17164.73971499121,8,292.72011059261735
Mexico,7876.09733324597,5,45.489658596514225
